task,source,roc_auc,auprc
PCBA-1030,PCBA-485364,0.622,0.585
PCBA-1030,PCBA-504332,0.629,0.601
PCBA-1030,PCBA-1460,0.585,0.569
PCBA-1458,PCBA-485297,0.771,0.721
PCBA-1458,PCBA-485313,0.780,0.726
PCBA-1458,PCBA-2546,0.694,0.619
PCBA-1460,PCBA-504332,0.751,0.758
PCBA-1460,PCBA-504333,0.747,0.747
PCBA-1460,PCBA-2546,0.727,0.732
PCBA-2546,PCBA-2551,0.695,0.719
PCBA-2546,PCBA-1458,0.680,0.676
PCBA-2546,PCBA-1460,0.686,0.695
PCBA-2551,PCBA-2546,0.761,0.756
PCBA-2551,PCBA-504333,0.704,0.708
PCBA-2551,PCBA-1460,0.733,0.729
PCBA-485297,PCBA-485313,0.791,0.777
PCBA-485297,PCBA-1458,0.795,0.778
PCBA-485297,PCBA-2546,0.743,0.712
PCBA-485313,PCBA-485297,0.811,0.802
PCBA-485313,PCBA-1458,0.816,0.801
PCBA-485313,PCBA-2546,0.701,0.656
PCBA-485364,PCBA-1030,0.657,0.656
PCBA-485364,PCBA-504332,0.675,0.677
PCBA-485364,PCBA-1460,0.678,0.671
PCBA-504332,PCBA-1030,0.642,0.620
PCBA-504332,PCBA-485364,0.613,0.569
PCBA-504332,PCBA-1460,0.657,0.625
PCBA-504333,PCBA-2551,0.676,0.673
PCBA-504333,PCBA-1460,0.689,0.682
PCBA-504333,PCBA-2546,0.677,0.678
