source_task,am,rsa,motse
PCBA-1030,0.3503,0.7690,0.6939
PCBA-1458,0.1129,0.7979,0.6047
PCBA-1460,0.1938,0.7891,0.6354
PCBA-2546,0.3944,0.8015,0.7181
PCBA-2551,0.4085,0.7627,0.7159
PCBA-485297,-0.0035,0.8455,0.5677
PCBA-485313,-0.0197,0.8717,0.5665
PCBA-485364,0.2865,0.7590,0.6664
PCBA-504332,0.2660,0.4969,0.6058
PCBA-504333,0.3006,0.6283,0.6459
PCBA-504339,0.2429,0.6882,0.6348
PCBA-504444,0.5604,0.8918,0.8025
PCBA-504467,0.5542,0.7595,0.7736
PCBA-588342,-0.0565,0.8315,0.5437
PCBA-624296,0.6756,0.8736,0.8450
PCBA-624297,0.5438,0.9045,0.7984
PCBA-624417,0.5961,0.9156,0.8215
PCBA-651965,-0.1151,0.8425,0.5225
PCBA-652104,0.1088,0.6950,0.5825
PCBA-686970,0.6495,0.8775,0.8353
PCBA-686978,0.7330,0.9612,0.8854
PCBA-686979,1.0000,1.0000,1.0000
PCBA-720504,-0.1209,0.7341,0.4985
