task,source1,source2,source3,roc_auc,auprc
PCBA-1030,PCBA-485364,PCBA-504332,PCBA-1460,0.610,0.581
PCBA-1458,PCBA-485297,PCBA-485313,PCBA-2546,0.740,0.671
PCBA-1460,PCBA-504332,PCBA-504333,PCBA-2546,0.714,0.716
PCBA-2546,PCBA-2551,PCBA-1458,PCBA-1460,0.678,0.699
PCBA-2551,PCBA-2546,PCBA-504333,PCBA-1460,0.728,0.722
PCBA-485297,PCBA-485313,PCBA-1458,PCBA-2546,0.740,0.712
PCBA-485313,PCBA-485297,PCBA-1458,PCBA-2546,0.731,0.701
PCBA-485364,PCBA-1030,PCBA-504332,PCBA-1460,0.659,0.647
PCBA-504332,PCBA-1030,PCBA-485364,PCBA-1460,0.600,0.568
PCBA-504333,PCBA-2551,PCBA-1460,PCBA-2546,0.668,0.678
