task,source,r2,mae
mu,r2,0.278,0.913
mu,cv,0.248,0.915
mu,homo,0.326,0.880
alpha,zpve,0.784,2.723
alpha,r2,0.836,2.481
alpha,cv,0.842,2.418
homo,lumo,0.262,0.014
homo,mu,0.245,0.014
homo,cv,0.187,0.014
lumo,gap,0.274,0.032
lumo,zpve,0.204,0.034
lumo,homo,0.238,0.033
gap,lumo,0.291,0.033
gap,zpve,0.233,0.034
gap,alpha,0.180,0.034
r2,alpha,0.475,147.370
r2,u298,0.334,164.705
r2,g298,0.336,159.736
zpve,alpha,0.578,0.016
zpve,gap,0.503,0.018
zpve,lumo,0.502,0.018
u0,h298,0.989,2.598
u0,g298,0.982,3.058
u0,u298,0.986,2.871
u298,g298,0.982,2.980
u298,h298,0.987,2.922
u298,u0,0.993,2.344
h298,u0,0.992,2.617
h298,g298,0.983,2.929
h298,u298,0.986,2.741
